"epci2018";"SEXE";"FAM_2";"FOR_3";"EMP_1";"EMP_3";"EMP_4"
"200034023";"F";9,91614784483661;14,6669209975917;10,9270285061335;33,6451961000328;16,7405926793837
"200034023";"H";6,39649403642565;23,3673502340993;9,99448249184299;9,78700710587603;15,0594594397566
"200034031";"F";9,99046164713961;13,6081159197921;10,1208602874902;39,0539209644908;21,7895388298461
"200034031";"H";6,02571499468688;16,2329990816493;8,64710089366703;7,9454310625601;20,0190017674043
"200034049";"F";10,3440450325167;15,7938610559266;13,725460422431;36,5961738256801;15,9291828577306
"200034049";"H";5,01943716822504;16,6208279850607;10,6393527601748;9,19390652993643;22,3751064523084
"200034056";"F";9,92900494158571;11,9917591949207;11,580920095402;45,7338727346709;21,950231073144
"200034056";"H";4,5474003384141;15,4584087846821;10,5964779665422;9,76286385707175;18,9653879450737
"200034064";"F";10,0750389530271;18,269923506096;14,1353389921471;46,6843072966362;22,6090520536751
"200034064";"H";6,66305586439792;21,5657038085756;14,7612243446996;13,8629098563236;22,0446107657919
"200034098";"F";6,44789064240664;8,63416282962401;6,3940162785341;24,1348471868603;33,58378953954
"200034098";"H";3,29026265434193;11,1527927624098;5,49102565077857;9,27030851196314;38,2314843791953
"200034130";"F";12,931528268344;8,78545457592188;8,65187686562342;33,0934917823959;16,7810741094987
"200034130";"H";3,46023676521967;9,07364938493711;7,64238930084054;9,99757969008325;10,9270779848212
"200034197";"F";12,5372446609061;22,6925928484418;15,95503582177;30,5281030551148;21,6658029533722
"200034197";"H";5,84177819617343;25,0251322522225;12,0432267419115;10,3503383190454;19,9923958222724
"200034205";"F";23,1946042689383;29,38858388655;20,2440004499729;32,5323211958229;21,9048121181137
"200034205";"H";9,66592109421657;22,3676964648535;13,1465198498943;8,84249752071223;17,0189869711282
"200034270";"F";8,20323219360515;14,0066034987987;10,9751962102209;34,2619351414496;15,753726568464
"200034270";"H";3,11969078060959;17,0324894285273;9,35859655408942;7,99323741264764;20,6972477728827
